Flex1,Flex2,Flex3,Flex4,Flex5,Label
400,50,124,238,222,sphere
401,46,123,238,224,sphere
401,47,123,239,221,sphere
401,47,123,239,210,sphere
400,45,123,239,228,sphere
400,46,123,238,240,sphere
401,51,123,238,248,sphere
400,45,123,237,221,sphere
401,48,123,239,224,sphere
401,47,123,238,210,sphere
401,49,123,240,213,sphere
400,46,123,239,214,sphere
401,47,123,238,214,sphere
402,46,123,239,210,sphere
401,50,123,240,220,sphere
400,49,123,241,224,sphere
401,52,123,241,223,sphere
403,51,123,240,224,sphere
403,51,123,239,224,sphere
402,52,123,240,222,sphere
401,50,123,239,225,sphere
402,51,123,238,225,sphere
401,51,123,239,224,sphere
402,53,123,240,225,sphere
403,51,123,239,227,sphere
401,51,123,238,225,sphere
401,49,123,240,227,sphere
400,48,123,241,227,sphere
402,47,123,241,227,sphere
401,49,123,241,225,sphere
400,51,123,243,228,sphere
401,51,123,243,254,sphere
401,50,123,243,225,sphere
401,49,123,243,224,sphere
401,43,124,242,218,sphere
403,41,124,242,218,sphere
402,43,124,243,220,sphere
402,51,123,243,220,sphere
400,49,123,243,221,sphere
401,49,123,242,222,sphere
401,48,123,243,222,sphere
402,49,124,243,224,sphere
403,49,123,242,212,sphere
401,50,124,243,210,sphere
401,48,124,243,203,sphere
401,46,123,243,201,sphere
400,48,123,242,244,sphere
402,48,122,243,201,sphere
401,49,122,243,236,sphere
401,48,123,242,208,sphere
401,51,123,243,226,sphere
401,49,123,243,246,sphere
400,51,123,243,222,sphere
400,50,122,242,227,sphere
403,50,123,242,236,sphere
401,51,122,243,239,sphere
402,48,121,243,239,sphere
401,42,122,241,233,sphere
401,39,123,242,234,sphere
403,45,123,243,233,sphere
401,43,122,243,235,sphere
403,43,122,242,235,sphere
402,39,121,243,236,sphere
400,42,122,243,235,sphere
400,45,122,243,236,sphere
402,43,122,241,236,sphere
403,44,122,243,235,sphere
402,37,122,241,235,sphere
401,36,122,242,234,sphere
403,43,122,241,234,sphere
401,43,120,243,235,sphere
402,40,122,242,235,sphere
400,47,122,242,232,sphere
401,47,122,241,233,sphere
401,45,121,242,235,sphere
402,24,121,242,236,sphere
401,45,122,242,235,sphere
401,47,120,242,234,sphere
399,46,121,242,236,sphere
401,43,121,242,236,sphere
401,40,121,242,236,sphere
402,46,121,242,236,sphere
403,43,122,242,236,sphere
402,46,122,242,236,sphere
401,42,122,243,236,sphere
401,46,122,242,236,sphere
400,45,121,243,236,sphere
401,48,121,241,236,sphere
403,46,121,242,235,sphere
401,45,120,242,237,sphere
403,43,122,241,235,sphere
400,41,122,243,235,sphere
403,41,122,242,236,sphere
400,42,122,242,236,sphere
401,45,122,243,236,sphere
402,43,123,242,235,sphere
403,47,122,242,235,sphere
402,53,122,243,235,sphere
402,52,122,242,234,sphere
401,52,123,242,235,sphere
401,49,122,241,236,sphere
401,52,123,241,235,sphere
400,51,123,241,233,sphere
401,49,123,242,235,sphere
403,54,122,241,236,sphere
401,55,123,243,235,sphere
402,52,123,243,236,sphere
401,52,124,242,236,sphere
402,52,123,242,236,sphere
403,51,123,241,235,sphere
402,53,122,242,235,sphere
403,49,123,242,235,sphere
401,43,123,243,235,sphere
401,48,124,243,236,sphere
403,44,124,243,235,sphere
400,48,123,242,235,sphere
401,51,123,242,233,sphere
401,48,123,242,235,sphere
400,57,124,241,234,sphere
401,50,124,241,233,sphere
403,53,123,243,235,sphere
