Flex2,Flex3,Flex4,Flex5,Label
66,241,246,254,5.6
64,246,249,252,5.6
57,247,247,251,5.6
45,248,246,257,5.6
53,238,253,257,5.6
51,246,244,250,5.6
65,245,245,254,5.6
55,244,255,251,5.6
63,239,254,257,5.6
64,244,244,251,5.6
68,241,245,246,5.6
56,245,246,251,5.6
66,249,245,252,5.6
58,243,245,248,5.6
43,243,245,257,5.6
73,245,244,239,5.6
84,245,247,230,5.6
72,247,246,230,5.6
81,244,248,240,5.6
67,242,246,237,5.6
48,248,248,241,5.6
56,245,244,242,5.6
47,247,251,237,5.6
62,246,245,242,5.6
69,254,247,233,5.6
64,245,246,230,5.6
65,245,248,227,5.6
54,238,250,231,5.6
52,253,253,232,5.6
57,251,250,230,5.6
66,249,252,232,5.6
60,239,244,231,5.6
66,244,247,234,5.6
61,249,245,228,5.6
65,251,245,229,5.6
68,242,246,229,5.6
68,248,248,232,5.6
72,243,246,228,5.6
65,236,248,233,5.6
69,240,246,230,5.6
68,243,247,237,5.6
55,256,251,233,5.6
57,242,252,233,5.6
65,243,247,230,5.6
70,245,249,235,5.6
69,240,252,228,5.6
65,244,248,233,5.6
69,249,248,228,5.6
70,241,246,232,5.6
65,242,254,235,5.6
70,245,243,236,5.6
67,241,250,233,5.6
68,250,249,234,5.6
60,240,245,234,5.6
70,245,250,232,5.6
66,241,250,231,5.6
72,237,247,232,5.6
62,241,249,239,5.6
61,245,246,234,5.6
62,249,249,231,5.6
64,247,247,231,5.6
69,246,246,236,5.6
76,247,252,235,5.6
70,249,247,231,5.6
67,245,246,230,5.6
83,247,252,230,5.6
80,245,247,233,5.6
67,253,253,226,5.6
74,249,248,233,5.6
71,247,247,232,5.6
68,244,245,224,5.6
92,244,244,227,5.6
88,245,246,229,5.6
76,248,251,223,5.6
77,244,250,221,5.6
75,242,244,244,5.6
76,244,249,245,5.6
79,239,247,242,5.6
83,242,250,245,5.6
72,246,243,245,5.6
68,245,246,240,5.6
75,248,251,239,5.6
75,240,246,243,5.6
70,247,241,241,5.6
80,246,247,239,5.6
81,241,247,238,5.6
80,250,252,245,5.6
74,248,249,241,5.6
80,245,246,240,5.6
68,248,251,240,5.6
59,246,253,245,5.6
70,248,245,241,5.6
69,245,248,244,5.6
92,247,250,243,5.6
84,248,247,245,5.6
70,239,246,242,5.6
94,249,250,244,5.6
89,252,245,233,5.6
82,251,247,239,5.6
85,243,248,254,5.6
72,240,253,253,5.6
68,252,252,253,5.6
72,247,250,225,5.6
67,243,249,223,5.6
64,242,251,227,5.6
69,250,251,223,5.6
75,256,250,223,5.6
80,246,246,223,5.6
85,245,249,229,5.6
83,246,247,226,5.6
73,243,248,230,5.6
73,245,249,229,5.6
96,241,253,229,5.6
72,248,250,216,5.6
80,246,249,230,5.6
80,245,248,229,5.6
76,252,249,228,5.6
81,245,252,235,5.6
75,250,243,233,5.6
78,251,247,220,5.6
68,252,247,224,5.6
57,249,248,225,5.6
74,245,251,219,5.6
79,244,249,224,5.6
83,242,246,222,5.6
90,244,248,217,5.6
70,238,251,222,5.6
71,240,250,224,5.6
80,249,248,220,5.6
84,252,245,218,5.6
84,243,247,218,5.6
71,243,252,221,5.6
86,250,249,220,5.6
69,243,251,218,5.6
73,243,246,215,5.6
83,250,248,223,5.6
76,249,246,225,5.6
80,247,248,213,5.6
74,247,252,215,5.6
81,246,254,217,5.6
90,245,250,221,5.6
75,239,246,221,5.6
82,246,250,215,5.6
66,248,248,215,5.6
78,237,249,216,5.6
82,239,248,223,5.6
83,248,247,219,5.6
82,244,249,224,5.6
86,241,248,215,5.6
92,251,246,215,5.6
77,248,246,224,5.6
83,248,245,220,5.6
92,247,246,214,5.6
93,250,254,223,5.6
94,243,248,218,5.6
96,251,251,228,5.6
96,245,248,228,5.6
97,243,246,219,5.6
90,251,247,222,5.6
95,245,249,221,5.6
97,245,250,221,5.6
95,245,247,224,5.6
94,252,249,219,5.6
99,246,250,219,5.6
96,246,250,218,5.6
100,243,250,219,5.6
89,246,250,222,5.6
100,250,252,225,5.6
106,246,246,220,5.6
104,245,247,223,5.6
96,244,247,220,5.6
89,236,247,217,5.6
103,247,250,214,5.6
90,244,250,223,5.6
109,242,247,221,5.6
101,243,247,225,5.6
99,242,249,228,5.6
92,247,249,219,5.6
85,243,250,221,5.6
85,249,248,222,5.6
98,240,249,225,5.6
94,242,249,228,5.6
91,252,252,224,5.6
104,250,250,222,5.6
