Flex1,Flex2,Flex3,Flex4,Flex5,Label
401,40,220,231,256,0.5
414,25,211,227,256,0.5
414,30,211,226,263,0.5
408,35,208,231,263,0.5
401,37,216,223,268,0.5
408,32,211,224,260,0.5
392,40,212,226,263,0.5
398,22,220,233,260,0.5
400,38,209,225,254,0.5
403,37,219,227,260,0.5
411,33,214,229,255,0.5
409,32,212,224,261,0.5
399,33,213,231,266,0.5
401,30,219,231,269,0.5
407,31,215,228,263,0.5
408,28,211,225,255,0.5
409,36,212,221,270,0.5
399,48,214,231,260,0.5
395,23,223,231,260,0.5
400,43,208,226,263,0.5
417,33,217,228,258,0.5
396,30,209,223,255,0.5
394,42,210,232,268,0.5
410,37,211,227,259,0.5
399,34,222,224,265,0.5
403,31,220,230,259,0.5
399,39,207,231,263,0.5
416,36,218,227,264,0.5
415,46,214,227,265,0.5
398,32,206,235,264,0.5
402,29,215,222,262,0.5
400,38,215,233,253,0.5
410,42,213,227,258,0.5
406,33,211,227,265,0.5
419,39,227,230,262,0.5
398,27,223,231,257,0.5
409,32,208,222,266,0.5
403,37,211,235,270,0.5
406,32,218,228,268,0.5
398,33,215,231,265,0.5
400,28,208,224,260,0.5
414,37,208,234,268,0.5
398,34,213,231,255,0.5
413,34,220,226,266,0.5
416,35,209,227,260,0.5
405,32,222,233,260,0.5
412,40,213,227,256,0.5
420,30,217,227,256,0.5
413,38,216,224,259,0.5
403,36,217,230,249,0.5
405,36,216,224,257,0.5
389,35,215,227,264,0.5
396,38,222,235,258,0.5
404,33,212,231,255,0.5
413,27,216,230,263,0.5
411,46,212,228,259,0.5
400,45,213,227,268,0.5
405,36,217,235,268,0.5
411,41,216,228,258,0.5
401,29,217,227,261,0.5
402,37,224,233,263,0.5
413,35,212,226,253,0.5
398,32,214,226,266,0.5
406,34,210,225,263,0.5
394,36,221,232,270,0.5
401,33,220,220,258,0.5
397,39,216,228,264,0.5
399,33,207,231,264,0.5
401,28,224,222,265,0.5
397,37,220,222,259,0.5
422,35,216,227,264,0.5
412,43,221,226,262,0.5
408,31,223,231,260,0.5
399,36,214,230,257,0.5
415,41,217,227,264,0.5
407,26,210,225,260,0.5
390,42,224,223,268,0.5
399,40,217,223,264,0.5
399,28,212,227,264,0.5
396,40,211,224,262,0.5
403,33,206,223,259,0.5
403,36,210,227,257,0.5
399,43,215,230,256,0.5
395,45,212,230,266,0.5
409,48,207,223,256,0.5
403,44,216,235,271,0.5
413,39,216,229,269,0.5
393,42,211,229,262,0.5
416,40,218,231,259,0.5
403,35,210,228,259,0.5
404,32,214,228,264,0.5
406,39,212,228,262,0.5
401,33,219,223,262,0.5
403,39,212,228,270,0.5
401,35,215,221,255,0.5
415,36,213,229,264,0.5
403,48,220,223,263,0.5
410,38,210,224,249,0.5
404,44,211,224,267,0.5
413,37,211,226,265,0.5
415,31,211,231,262,0.5
408,48,209,225,264,0.5
398,37,220,232,257,0.5
413,36,214,227,261,0.5
413,33,209,227,263,0.5
419,37,220,231,252,0.5
401,38,216,231,267,0.5
389,46,211,228,260,0.5
407,45,211,221,259,0.5
422,40,209,221,269,0.5
407,34,214,226,259,0.5
395,39,217,229,263,0.5
401,39,211,223,266,0.5
396,43,215,231,262,0.5
423,44,217,230,264,0.5
396,49,222,230,261,0.5
401,44,207,232,263,0.5
409,39,212,231,254,0.5
396,48,212,228,260,0.5
397,34,216,231,266,0.5
