Flex1,Flex2,Flex3,Flex4,Flex5,Label
401,44,203,233,257,3.5
403,45,201,234,256,3.5
402,35,203,233,256,3.5
403,35,203,233,258,3.5
401,25,203,233,257,3.5
400,33,206,233,256,3.5
400,33,206,233,255,3.5
398,26,207,234,257,3.5
401,21,208,235,255,3.5
401,29,208,235,256,3.5
400,35,209,234,256,3.5
399,29,208,235,256,3.5
399,31,208,235,255,3.5
398,32,207,232,254,3.5
402,36,204,233,255,3.5
403,36,207,233,255,3.5
402,40,207,233,255,3.5
405,42,206,234,255,3.5
402,46,207,235,256,3.5
403,42,206,234,256,3.5
401,44,205,235,256,3.5
403,46,205,233,256,3.5
403,42,204,234,257,3.5
402,48,206,232,256,3.5
400,50,205,234,256,3.5
403,49,205,233,255,3.5
404,50,206,234,256,3.5
404,50,206,233,256,3.5
404,53,207,233,256,3.5
403,52,207,234,256,3.5
401,51,207,233,257,3.5
403,50,207,233,255,3.5
403,51,207,233,256,3.5
403,49,207,233,255,3.5
401,50,208,234,256,3.5
405,51,207,233,257,3.5
400,47,207,234,256,3.5
403,29,207,233,255,3.5
401,24,207,234,256,3.5
401,30,206,234,256,3.5
402,37,207,234,256,3.5
403,34,207,234,255,3.5
401,25,207,233,256,3.5
401,27,207,234,256,3.5
403,32,208,234,256,3.5
401,42,207,235,256,3.5
401,40,208,234,256,3.5
401,34,208,235,256,3.5
400,36,208,233,258,3.5
400,30,207,233,257,3.5
399,36,207,234,256,3.5
400,36,207,233,256,3.5
399,39,208,233,256,3.5
401,42,207,233,256,3.5
401,41,209,233,256,3.5
401,40,208,233,256,3.5
400,39,209,234,256,3.5
400,39,209,233,255,3.5
399,38,208,234,257,3.5
400,38,207,234,256,3.5
399,37,208,233,256,3.5
399,43,208,233,255,3.5
400,43,208,233,255,3.5
400,43,207,234,255,3.5
401,41,207,234,255,3.5
398,45,207,233,240,3.5
399,41,208,233,241,3.5
400,34,207,232,236,3.5
401,33,206,233,236,3.5
400,33,206,234,245,3.5
401,39,206,233,249,3.5
403,42,207,233,251,3.5
400,45,207,233,250,3.5
400,41,206,233,249,3.5
400,42,205,232,245,3.5
399,44,206,230,240,3.5
401,46,205,226,237,3.5
399,46,206,213,239,3.5
401,44,206,215,243,3.5
399,44,205,214,248,3.5
401,45,206,210,247,3.5
399,46,205,158,249,3.5
398,46,204,160,250,3.5
398,46,204,159,249,3.5
399,45,204,158,249,3.5
399,47,203,158,249,3.5
399,47,203,160,248,3.5
399,47,204,160,249,3.5
402,49,203,161,249,3.5
400,49,204,161,248,3.5
400,46,202,160,251,3.5
400,43,200,159,251,3.5
399,46,201,164,249,3.5
399,46,201,159,255,3.5
402,48,201,158,254,3.5
401,47,199,160,254,3.5
403,49,198,159,257,3.5
402,47,198,159,258,3.5
401,48,198,161,258,3.5
401,48,195,162,259,3.5
402,45,192,160,260,3.5
402,48,191,161,260,3.5
402,48,192,161,260,3.5
403,50,192,163,260,3.5
404,50,191,164,259,3.5
403,50,191,164,260,3.5
403,51,191,164,259,3.5
403,49,191,171,259,3.5
405,46,190,163,260,3.5
405,48,191,164,260,3.5
409,48,192,163,259,3.5
361,48,187,163,259,3.5
405,47,187,164,261,3.5
410,47,185,166,260,3.5
409,50,188,164,260,3.5
408,44,186,164,259,3.5
404,51,186,163,260,3.5
403,46,185,162,259,3.5
402,47,184,163,260,3.5
403,49,183,161,259,3.5
400,50,186,162,259,3.5
400,50,187,162,259,3.5
401,49,187,165,257,3.5
399,49,186,165,257,3.5
399,48,184,165,258,3.5
399,45,187,165,257,3.5
397,47,185,163,256,3.5
398,48,184,163,257,3.5
399,44,183,163,256,3.5
398,46,183,163,255,3.5
399,44,182,164,255,3.5
400,45,182,164,255,3.5
399,45,181,164,257,3.5
397,45,179,164,256,3.5
397,45,182,164,256,3.5
398,46,182,165,256,3.5
398,46,181,165,256,3.5
399,47,179,165,254,3.5
398,47,179,165,254,3.5
400,46,176,166,255,3.5
400,48,178,167,255,3.5
399,48,192,166,254,3.5
397,48,192,165,255,3.5
398,47,191,166,254,3.5
399,46,191,166,253,3.5
400,46,192,165,254,3.5
400,47,192,166,254,3.5
399,45,191,166,253,3.5
399,45,191,166,254,3.5
400,45,191,164,253,3.5
399,45,191,165,253,3.5
397,43,191,164,254,3.5
399,43,191,165,254,3.5
398,43,189,165,253,3.5
399,43,190,164,252,3.5
399,45,190,165,252,3.5
400,43,190,166,252,3.5
400,44,189,167,252,3.5
400,44,190,165,253,3.5
399,42,186,165,251,3.5
398,44,186,167,252,3.5
399,43,182,166,251,3.5
399,45,181,166,249,3.5
399,44,181,165,250,3.5
401,45,182,165,248,3.5
400,44,181,166,248,3.5
399,44,182,166,249,3.5
398,44,181,166,248,3.5
400,43,181,165,248,3.5
399,43,179,166,245,3.5
399,45,180,166,247,3.5
400,46,190,166,243,3.5
401,46,192,166,243,3.5
401,47,192,166,240,3.5
399,47,192,167,241,3.5
401,47,192,167,241,3.5
400,47,191,167,247,3.5
400,49,191,165,242,3.5
400,47,190,166,243,3.5
399,46,190,166,240,3.5
399,45,189,168,243,3.5
403,46,190,167,244,3.5
399,46,190,167,246,3.5
400,45,188,167,237,3.5
400,44,190,165,240,3.5
400,45,188,167,241,3.5
401,45,188,166,243,3.5
399,46,190,167,234,3.5
401,46,186,166,235,3.5
402,47,185,167,237,3.5
399,47,185,168,236,3.5
400,47,181,169,236,3.5
399,47,175,168,237,3.5
399,49,172,166,239,3.5
400,45,173,166,239,3.5
398,45,172,167,238,3.5
401,47,176,166,234,3.5
400,47,175,166,231,3.5
403,47,176,167,231,3.5
403,50,178,167,230,3.5
399,48,176,168,239,3.5
